vendor_id,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_borough,payment_type,fare_amount,tip_amount,total_amount
2,2026-03-02 07:28:00,2026-03-02 08:06:00,1,7.03,Manhattan,credit_card,43.58,12.18,59.56
1,2026-03-03 13:14:30,2026-03-03 13:43:30,2,5.07,Brooklyn,cash,33.15,0.00,34.45
1,2026-03-04 11:36:00,2026-03-04 11:51:00,4,2.20,Bronx,credit_card,17.41,3.19,21.90
2,2026-03-05 15:20:45,2026-03-05 15:47:45,1,4.87,Manhattan,credit_card,31.49,6.77,42.06
2,2026-03-06 19:15:00,2026-03-06 20:20:00,5,11.48,Manhattan,credit_card,70.89,13.29,87.98
1,2026-03-07 09:26:00,2026-03-07 09:51:00,4,4.62,Manhattan,credit_card,29.69,7.93,41.42
2,2026-03-08 07:33:00,2026-03-08 08:05:00,1,5.71,Manhattan,credit_card,36.59,8.31,48.70
2,,2026-03-02 13:35:45,1,6.38,Manhattan,credit_card,39.01,10.20,53.01
2,2026-03-02 09:02:30,2026-03-02 09:37:30,1,6.18,Manhattan,credit_card,39.55,7.81,51.16
2,2026-03-03 09:25:00,2026-03-03 09:43:00,1,2.96,Manhattan,credit_card,21.19,5.70,30.69
1,2026-03-04 09:42:45,2026-03-04 10:03:45,1,4.11,Bronx,credit_card,26.06,7.25,34.61
1,2026-03-05 17:07:45,2026-03-05 17:20:45,2,1.45,Staten Island,credit_card,14.21,3.08,18.59
2,2026-03-06 07:51:15,2026-03-06 08:21:15,2,5.84,Queens,credit_card,35.85,5.45,42.60
2,2026-03-07 08:30:30,2026-03-07 09:20:30,5,9.08,Brooklyn,credit_card,55.92,9.61,66.83
2,2026-03-08 22:06:00,2026-03-08 22:34:00,2,4.49,Manhattan,credit_card,30.97,5.81,40.58
2,2026-03-02 21:16:30,2026-03-02 21:41:30,6,4.11,Queens,cash,28.26,0.00,29.56
